"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250"
"V215",0.034146,0.101687,0.00424291,0.0919341,0.0484547,1,0.290408,0.137246,0.0457767,0.19446,0.172443,0.208078,0.310374,1,0.186843,0.118262,0.0584607,0.040232,0.131458,0.17813,0.250115,0.158958,0.0771724,0.034146,0.141274,0.289895,0.212752,0.161402,1,0.0706486,1,1,1,0.213869,0.0457767,0.0678052,0.199178,0.318917,0.0231322,0.0357704,0.107764,0.170381,0.0781716,0.16756,0.217491,0.0457685,1,0.0168339,0.105438,0.142949,0.0638381,1,0.126691,0.0922168,0.127295,0.130684,0.136819,0.0649423,0.00933316,0.141062,0.142881,0.0457767,0.0141737,0.0457767,0.131212,0.0219674,0.173604,0.085958,0.161646,0.0958155,0.166206,0.362651,1,0.151672,0.0538775,0.0375985,0.182653,0.167895,0.140168,0.122924,0.0357704,0.134806,1,0.153479,0.250916,0.111116,0.186017,0.187764,1,0.209255,0.013686,0.167138,0.145565,0.174599,0.211919,0.0607307,0.163908,0.217302,0.159885,0.245538,0.206995,0.250392,0.0484425,0.211754,0.102868,0.184247,1,0.0584607,1,0.0189303,0.136047,0.18737,0.245469,0.126634,1,0.152091,0.118862,0.0763498,0.211685,0.115336,0.224865,0.0419513,0.0911433,0.170189,0.108289,0.0531147,1,0.0119933,0.0896407,0.093862,0.0939765,0.0576058,0.103366,0.0832549,0.343161,0.118469,0.166561,0.0649423,0.184036,1,0.0457767,0.123179,0.0544923,0.0844317,0.164795,0.30683,0.121626,0.142871,0.225904,0.121984,0.0457767,0.0706486,0.126301,0.140431,0.0141737,0.0371126,1,0.165588,0.130992,0.026698,0.00424291,0.266224,0.0457767,0.18538,0.093384,0.211491,0.047198,0.218251,1,0.119518,0.12408,0.152792,0.0168339,0.00424291,0.0469438,0.215739,1,0.0771724,0.270762,0.284255,0.254479,0.327963,0.22312,0.00710068,0.164788,0.144625,0.107809,0.047198,0.00266017,0.176789,0.147361,0.132281,0.0119933,0.0934072,0.0153972,0.167811,0.0484547,1,1,0.100496,0.199124,0.104101,0.139334,0.223063,0.30081,0.159071,0.0942012,0.118262,0.145684,0.1772,0.163408,0.103248,0.118469,0.163724,0.0141737,0.136127,0.133341,0.0558085,0.149417,0.013686,0.00424291,0.156306,0.0558085,1,0.11105,0.0457767,1,0.200512,1,0.0294478,0.235884,0.173122,0.0735903,0.211787,0.0742711,1,0.222654,0.0444263,0.100887,0.220398,0.169414,0.301841,0.116768,0.148418,1,0.0584607,0.243155,0.00424291,0.073962,0.193294
"V216",0.0923497,0.0629943,0.0790558,0.14505,0.0859088,1,0.271065,0.102395,0.101567,0.236004,0.123907,0.164684,0.287482,1,0.147234,0.0958944,0.117863,0.085482,0.113719,0.133158,0.233463,0.180948,0.136783,0.0923497,0.117148,0.261015,0.181402,0.124132,1,0.128835,1,1,1,0.177383,0.101567,0.106642,0.143236,0.303281,0.0668341,0.0915894,0.0892386,0.130643,0.0320686,0.127839,0.19478,0.0973637,1,0.0753838,0.0818705,0.104994,0.0835055,1,0.107937,0.0462918,0.0902978,0.0918163,0.0918717,0.114907,0.0832172,0.083943,0.105183,0.101567,0.0774427,0.101567,0.0965462,0.0678418,0.149352,0.122502,0.135152,0.091528,0.138246,0.343308,1,0.0950856,0.0406214,0.0484687,0.139625,0.160367,0.122608,0.0765164,0.0915894,0.102124,1,0.128409,0.230488,0.150806,0.148598,0.148799,1,0.163617,0.0861191,0.122997,0.112326,0.16459,0.186603,0.0325911,0.141229,0.166739,0.10673,0.2063,0.174996,0.2265,0.0995935,0.194501,0.155566,0.163638,1,0.117863,1,0.0814012,0.0990425,0.151081,0.225585,0.088819,1,0.0942872,0.104776,0.127728,0.188394,0.172334,0.19516,0.0513705,0.0622128,0.149322,0.0949838,0.0417247,1,0.0811583,0.0673712,0.0663513,0.0664367,0.124732,0.057047,0.136837,0.323987,0.158251,0.130459,0.114907,0.140492,1,0.101567,0.0652153,0.111356,0.0205195,0.117881,0.268,0.0800406,0.0869188,0.182009,0.0882283,0.101567,0.128835,0.0838179,0.0636744,0.0774427,0.0913906,1,0.139698,0.0873645,0.0730931,0.0790558,0.249684,0.101567,0.155222,0.06566,0.160743,0.114026,0.171789,1,0.0952477,0.0884995,0.159108,0.0753838,0.0790558,0.106655,0.186251,1,0.136783,0.243106,0.258511,0.230917,0.300756,0.216481,0.078272,0.121082,0.0980108,0.164406,0.114026,0.0806528,0.154907,0.118264,0.157727,0.0811583,0.126067,0.0771532,0.142978,0.0859088,1,1,0.0598501,0.147088,0.0686765,0.102861,0.186501,0.273511,0.118747,0.0564342,0.0958944,0.0901076,0.110945,0.133532,0.0746769,0.158251,0.134219,0.0774427,0.0829779,0.0817918,0.104986,0.118162,0.0861191,0.0790558,0.101957,0.104986,1,0.0989987,0.101567,1,0.17002,1,0.0750516,0.215146,0.150183,0.0274647,0.18239,0.0285473,1,0.176371,0.0975625,0.0743005,0.191354,0.140678,0.245514,0.0762463,0.126414,1,0.117863,0.224019,0.0790558,0.113176,0.164952
"V217",0.15496,0.0738968,0.130264,0.133491,0.0953105,1,0.222072,0.0493448,0.162091,0.213445,0.072855,0.125427,0.232048,1,0.102756,0.0936762,0.114042,0.118486,0.0756,0.121249,0.197479,0.16332,0.121997,0.15496,0.082981,0.222783,0.118574,0.0651289,1,0.116662,1,1,1,0.116905,0.162091,0.174511,0.0922287,0.254649,0.135431,0.106076,0.135007,0.0844586,0.0750045,0.0820522,0.15694,0.099705,1,0.141982,0.0616335,0.0398565,0.14403,1,0.16989,0.0775002,0.0210391,0.0295769,0.162612,0.128938,0.129311,0.0311168,0.0517155,0.162091,0.143604,0.162091,0.165761,0.1153,0.102275,0.115612,0.0729288,0.0714643,0.0766176,0.292293,1,0.0441336,0.0926351,0.102924,0.084923,0.125336,0.0793561,0.0634117,0.106076,0.104786,1,0.0956983,0.178495,0.144164,0.0930889,0.0965208,1,0.152994,0.131597,0.0852624,0.0577564,0.132298,0.127824,0.10521,0.111385,0.122174,0.0392788,0.156669,0.119619,0.167697,0.0987905,0.143105,0.141203,0.109054,1,0.114042,1,0.127145,0.0352849,0.116611,0.177481,0.0225686,1,0.12895,0.0944609,0.112437,0.137734,0.160205,0.140222,0.10521,0.0627162,0.120762,0.0763145,0.0935044,1,0.127688,0.138282,0.0583594,0.0528186,0.118063,0.0453774,0.117533,0.270765,0.147604,0.0699839,0.128938,0.0851931,1,0.162091,0.0308052,0.105353,0.0655412,0.12406,0.204671,0.0547952,0.0279274,0.141223,0.0722566,0.162091,0.116662,0.0499713,0.077921,0.143604,0.104454,1,0.0915305,0.0613506,0.119969,0.130264,0.204355,0.162091,0.139183,0.0572807,0.109709,0.111056,0.124355,1,0.0507882,0.0329746,0.166168,0.141982,0.130264,0.112816,0.129017,1,0.121997,0.187726,0.213136,0.170857,0.247097,0.175958,0.12695,0.0854924,0.0678056,0.155403,0.111056,0.131523,0.10551,0.0860755,0.143139,0.127688,0.115659,0.124533,0.0955448,0.0953105,1,1,0.102455,0.094326,0.124509,0.0462708,0.141726,0.215563,0.110619,0.0548974,0.0936762,0.0299669,0.100069,0.110197,0.0673411,0.147604,0.077671,0.143604,0.0284358,0.000407267,0.12112,0.0691883,0.131597,0.130264,0.0452217,0.12112,1,0.0950458,0.162091,1,0.109783,1,0.120783,0.165474,0.094664,0.0754021,0.171598,0.0742704,1,0.1176,0.101327,0.109893,0.154204,0.0883445,0.212825,0.0945194,0.0902166,1,0.114042,0.189793,0.130264,0.153852,0.104599
"V218",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"V219",0.0552394,0.0587128,0.0573143,0.138934,0.0989142,1,0.282767,0.122051,0.0668702,0.227994,0.161439,0.197982,0.310322,1,0.17053,0.0691339,0.110869,0.0745239,0.115993,0.153583,0.24564,0.193801,0.125398,0.0552394,0.12262,0.281231,0.202528,0.143557,1,0.118297,1,1,1,0.207025,0.0668702,0.0815153,0.183303,0.318078,0.0497036,0.0879117,0.105845,0.152475,0.0592973,0.150164,0.214591,0.0941555,1,0.0419393,0.092064,0.124833,0.0488088,1,0.104252,0.0720982,0.109425,0.113701,0.103129,0.0934621,0.059746,0.125475,0.12721,0.0668702,0.0398827,0.0668702,0.0834408,0.0721601,0.165089,0.137325,0.150743,0.0834689,0.156651,0.356557,1,0.134938,0.0343438,0.0222716,0.173107,0.162442,0.125735,0.0911987,0.0879117,0.099323,1,0.13647,0.245509,0.146349,0.168729,0.170035,1,0.183961,0.0553932,0.148986,0.129336,0.16488,0.202321,0.0179188,0.162813,0.204111,0.142212,0.242558,0.19125,0.243727,0.0958841,0.209438,0.151117,0.176601,1,0.110869,1,0.0662233,0.119193,0.175153,0.2433,0.108837,1,0.138143,0.0935397,0.122605,0.206583,0.166092,0.213737,0.0179188,0.0737573,0.157585,0.0961671,0.0337802,1,0.0618027,0.0375328,0.0766179,0.0771795,0.11058,0.0865692,0.13238,0.338419,0.152607,0.151076,0.0934621,0.172441,1,0.0668702,0.106169,0.106214,0.0668064,0.153836,0.298456,0.102539,0.127061,0.216531,0.0919658,0.0668702,0.118297,0.106838,0.1068,0.0398827,0.0888992,1,0.159804,0.112026,0.0745983,0.0573143,0.263529,0.0668702,0.153838,0.0800524,0.198388,0.100591,0.208339,1,0.102806,0.10965,0.172007,0.0419393,0.0573143,0.0973655,0.205053,1,0.125398,0.259073,0.274392,0.249375,0.315825,0.222524,0.0594249,0.144491,0.138513,0.158757,0.100591,0.056113,0.172094,0.12718,0.169976,0.0618027,0.1393,0.0643591,0.161168,0.0989142,1,1,0.0867675,0.182513,0.0530248,0.123947,0.220648,0.288948,0.137291,0.0805856,0.0691339,0.129001,0.152592,0.156694,0.0854197,0.152607,0.15444,0.0398827,0.123047,0.118171,0.0904819,0.138273,0.0553932,0.0573143,0.140047,0.0904819,1,0.0905449,0.0668702,1,0.188787,1,0.0760556,0.228505,0.164422,0.0558658,0.190451,0.0563544,1,0.211558,0.093168,0.0835548,0.206654,0.159464,0.281885,0.0990939,0.131872,1,0.110869,0.240582,0.0573143,0.109258,0.182179
"V220",0.0362974,0.111126,0.0169439,0.0876562,0.0472061,1,0.286407,0.131786,0.0479282,0.188887,0.167948,0.204607,0.310991,1,0.180762,0.121547,0.0653143,0.0499527,0.127031,0.181256,0.257647,0.153153,0.0729015,0.0362974,0.139939,0.285576,0.211698,0.156831,1,0.0670189,1,1,1,0.208909,0.0479282,0.0698053,0.193248,0.325702,0.0251323,0.0423572,0.115603,0.164157,0.0736943,0.165856,0.21106,0.0394791,1,0.0262728,0.112025,0.138075,0.0659896,1,0.128843,0.0886425,0.122785,0.125406,0.140768,0.0688909,0.00435281,0.135291,0.141793,0.0479282,0.0242161,0.0479282,0.132549,0.0204521,0.168685,0.0924876,0.157217,0.109501,0.159832,0.356566,1,0.147195,0.0474462,0.0512844,0.177289,0.175427,0.139807,0.132378,0.0423572,0.138679,1,0.148993,0.245714,0.105035,0.182418,0.181821,1,0.212679,0,0.16288,0.140729,0.179579,0.20647,0.0627308,0.170208,0.213074,0.155119,0.252552,0.201423,0.245362,0.0430134,0.218539,0.0969419,0.18005,1,0.0653143,1,0.0144443,0.130377,0.181289,0.244459,0.122626,1,0.146955,0.113988,0.0719938,0.20576,0.121755,0.220956,0.0469316,0.0849111,0.176593,0.116128,0.0468825,1,0.00640948,0.0909775,0.0879274,0.0921742,0.0657419,0.101564,0.0818905,0.338054,0.114191,0.160354,0.0688909,0.180761,1,0.0479282,0.116637,0.0613766,0.0782247,0.160019,0.304212,0.118929,0.13694,0.22167,0.132689,0.0479282,0.0670189,0.122317,0.14481,0.0242161,0.0433447,1,0.172481,0.126509,0.0221384,0.0169439,0.260652,0.0479282,0.18738,0.106085,0.20735,0.0550366,0.21425,1,0.113274,0.12307,0.156705,0.0262728,0.0169439,0.0463742,0.211562,1,0.0729015,0.265851,0.283667,0.253546,0.322996,0.231464,0.0190545,0.161145,0.151717,0.114421,0.0550366,0.0157426,0.175576,0.142435,0.138501,0.00640948,0.0896518,0.00896589,0.161988,0.0472061,1,1,0.106728,0.194623,0.105438,0.133763,0.229847,0.295139,0.16794,0.101734,0.121547,0.140236,0.181074,0.170093,0.0967292,0.114191,0.157324,0.0242161,0.142702,0.131736,0.0659107,0.144151,0,0.0169439,0.151207,0.0659107,1,0.106127,0.0479282,1,0.194841,1,0.0260955,0.232264,0.167036,0.0671753,0.215195,0.0676639,1,0.218818,0.0384916,0.0874983,0.227646,0.165214,0.305628,0.111842,0.135238,1,0.0653143,0.250008,0.0169439,0.0674428,0.189058
"V221",0.0360554,0.102128,0.0013944,0.0866329,0.0456061,1,0.286688,0.134397,0.0476862,0.190651,0.168292,0.203383,0.315676,1,0.182148,0.120171,0.0556122,0.0373834,0.131898,0.17365,0.250555,0.154263,0.0776132,0.0360554,0.136794,0.285594,0.207791,0.15738,1,0.0710894,1,1,1,0.210148,0.0476862,0.0718546,0.194698,0.314616,0.0271816,0.0304692,0.113066,0.166572,0.0734768,0.163919,0.21253,0.0410736,1,0.0172747,0.100137,0.139308,0.0657476,1,0.1286,0.0877367,0.123486,0.126204,0.138729,0.0668517,0.0146344,0.136101,0.138186,0.0476862,0.0194749,0.0476862,0.135261,0.0166662,0.168302,0.0812631,0.157837,0.101117,0.162486,0.358743,1,0.146977,0.0489167,0.0428997,0.178744,0.168336,0.140609,0.117623,0.0304692,0.131957,1,0.148178,0.245615,0.106421,0.181323,0.183613,1,0.204775,0.0177354,0.162443,0.141413,0.178648,0.207897,0.0647801,0.159606,0.213151,0.156316,0.240843,0.203186,0.245912,0.0437476,0.207452,0.0979068,0.180526,1,0.0556122,1,0.0136291,0.132238,0.182676,0.240167,0.122332,1,0.147939,0.115053,0.0716549,0.206724,0.111184,0.220385,0.0460007,0.0858421,0.165709,0.113591,0.0478135,1,0.0124342,0.0936901,0.0885608,0.0896745,0.062907,0.0990643,0.0785601,0.339592,0.113167,0.162081,0.0668517,0.179885,1,0.0476862,0.119538,0.0491911,0.0799517,0.160986,0.303982,0.118778,0.138391,0.220943,0.127285,0.0476862,0.0710894,0.12266,0.137583,0.0194749,0.0324178,1,0.160627,0.126971,0.0238495,0.0013944,0.260923,0.0476862,0.189429,0.0905355,0.207189,0.0524992,0.21295,1,0.115367,0.118779,0.148097,0.0172747,0.0013944,0.0473846,0.211044,1,0.0776132,0.26674,0.281406,0.249518,0.324153,0.228421,0.00262065,0.160308,0.139324,0.103329,0.0524992,0.003101,0.172309,0.143059,0.128472,0.0124342,0.0884464,0.0104364,0.163789,0.0456061,1,1,0.0958014,0.195103,0.10815,0.134033,0.218761,0.297169,0.154769,0.0946421,0.120171,0.141662,0.174352,0.158447,0.0989464,0.113167,0.159572,0.0194749,0.131975,0.129532,0.0562493,0.145696,0.0177354,0.0013944,0.151826,0.0562493,1,0.111491,0.0476862,1,0.196703,1,0.0265993,0.231582,0.169213,0.0691103,0.206827,0.0701198,1,0.218503,0.0391251,0.104936,0.215097,0.164453,0.297361,0.112466,0.152468,1,0.0556122,0.240306,0.0013944,0.06966,0.189272
"V222",0.137051,0.0464106,0.107008,0.126354,0.0828283,1,0.242807,0.0589288,0.14499,0.218421,0.0861105,0.141702,0.239814,1,0.0952218,0.0810626,0.105264,0.0901065,0.0756207,0.125303,0.189175,0.18078,0.115108,0.137051,0.0793344,0.212696,0.138364,0.0757926,1,0.104594,1,1,1,0.162826,0.14499,0.153225,0.111509,0.254757,0.131449,0.0791858,0.115947,0.0909247,0.0581726,0.085748,0.16379,0.0791176,1,0.11971,0.0515485,0.0494609,0.126929,1,0.150302,0.0745569,0.0523131,0.035781,0.135566,0.115869,0.10714,0.0653462,0.0532252,0.14499,0.1221,0.14499,0.138732,0.111021,0.11454,0.125179,0.0999603,0.0571176,0.101768,0.313233,1,0.079976,0.0698048,0.0780392,0.125809,0.123089,0.074739,0.063853,0.0791858,0.0875547,1,0.0960681,0.181332,0.123066,0.116611,0.0967578,1,0.150035,0.110508,0.109575,0.081175,0.129953,0.133809,0.0982378,0.10444,0.151524,0.0886732,0.194706,0.143868,0.177117,0.0803195,0.163539,0.136197,0.132174,1,0.105264,1,0.105819,0.062312,0.103769,0.190044,0.051414,1,0.133047,0.0803242,0.109363,0.15165,0.159179,0.145592,0.081407,0.030165,0.124257,0.0610789,0.0687911,1,0.10475,0.114877,0.031595,0.0318424,0.105663,0.0412322,0.111565,0.282742,0.137059,0.0895817,0.115869,0.124096,1,0.14499,0.0349153,0.0952878,0.0627836,0.151869,0.23024,0.0622952,0.0682596,0.173116,0.0717523,0.14499,0.104594,0.0257493,0.0769337,0.1221,0.0809749,1,0.091272,0.0252009,0.113052,0.107008,0.199685,0.14499,0.140549,0.0270208,0.136518,0.0988707,0.142726,1,0.0568726,0.0405137,0.181344,0.11971,0.107008,0.0845404,0.152343,1,0.115108,0.211691,0.205479,0.190956,0.270703,0.170578,0.110807,0.0853522,0.0734153,0.152006,0.0988707,0.108861,0.0979748,0.0845333,0.154731,0.10475,0.13065,0.105305,0.102237,0.0828283,1,1,0.0834668,0.135392,0.104272,0.0623136,0.17879,0.240329,0.104874,0.0431364,0.0810626,0.0727454,0.109774,0.102919,0.0439156,0.137059,0.0975599,0.1221,0.0680554,0.0557504,0.104354,0.0753723,0.110508,0.107008,0.0703124,0.104354,1,0.0680786,0.14499,1,0.134977,1,0.113691,0.185269,0.11762,0.053853,0.176639,0.0547761,1,0.160418,0.0773286,0.0921093,0.145884,0.108321,0.234407,0.0898804,0.0796732,1,0.105264,0.193439,0.107008,0.137843,0.11697
"V223",0.0513556,0.0726833,0.040232,0.0815695,0.0308061,1,0.280617,0.125884,0.0605728,0.185451,0.154488,0.200189,0.294276,1,0.17729,0.0862955,0.0519321,0.00424291,0.122017,0.149929,0.245672,0.15,0.0680838,0.0513556,0.130944,0.275449,0.200417,0.15012,1,0.0573657,1,1,1,0.203556,0.0605728,0.0742314,0.190593,0.309437,0.0403418,0.0200704,0.13297,0.160738,0.0989483,0.158538,0.2046,0.0280425,1,0.0340435,0.0958807,0.128302,0.0786341,1,0.133117,0.112184,0.113085,0.117222,0.143246,0.0354401,0.042342,0.130536,0.134269,0.0605728,0.0313833,0.0605728,0.137638,0.0560079,0.163541,0.0752667,0.148027,0.0850927,0.155326,0.356089,1,0.140081,0.0868863,0.0735875,0.172915,0.156705,0.127918,0.0914308,0.0200704,0.105776,1,0.142723,0.241522,0.0941377,0.174357,0.179683,1,0.181055,0.0466948,0.157992,0.136781,0.158609,0.19928,0.0779403,0.148956,0.202856,0.148186,0.237487,0.199179,0.238956,0.0307316,0.203439,0.0935598,0.172207,1,0.0519321,1,0.0504904,0.124869,0.170392,0.238043,0.112209,1,0.173208,0.100435,0.0639027,0.200197,0.110517,0.2126,0.0779403,0.072463,0.165436,0.0975665,0.0861235,1,0.0450021,0.0960669,0.076136,0.0772822,0.0480484,0.0866719,0.0710042,0.325878,0.105667,0.154082,0.0354401,0.166072,1,0.0605728,0.105247,0.0456384,0.106657,0.186792,0.292093,0.102678,0.132345,0.218417,0.0930469,0.0605728,0.0573657,0.108619,0.110935,0.0313833,0.0214126,1,0.156834,0.111345,0.0585986,0.040232,0.257801,0.0605728,0.15669,0.076922,0.192316,0.0376407,0.209127,1,0.10852,0.109793,0.128636,0.0340435,0.040232,0.0277856,0.20374,1,0.0680838,0.260923,0.277651,0.242642,0.319968,0.218022,0.0430897,0.153202,0.129672,0.103503,0.0376407,0.0386492,0.159182,0.135372,0.119943,0.0450021,0.0838986,0.048406,0.148189,0.0308061,1,1,0.126449,0.190081,0.111275,0.127973,0.218155,0.291419,0.123829,0.0794555,0.0862955,0.134781,0.146082,0.153657,0.0830585,0.105667,0.152843,0.0313833,0.127745,0.121563,0.0263063,0.131998,0.0466948,0.040232,0.146321,0.0263063,1,0.0940717,0.0605728,1,0.189334,1,0.0603491,0.224317,0.164859,0.0958157,0.185846,0.0964965,1,0.208381,0.0267003,0.123112,0.216794,0.157912,0.275011,0.138633,0.128976,1,0.0519321,0.229884,0.040232,0.0961874,0.179845
"V224",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"V225",0.222657,0.14615,0.193206,0.209143,0.169655,1,0.153377,0.14889,0.229788,0.300675,0.11338,0.175707,0.17417,1,0.203732,0.180802,0.187834,0.176778,0.165582,0.146615,0.184128,0.262846,0.195472,0.222657,0.118346,0.224362,0.202542,0.175727,1,0.191974,1,1,1,0.138906,0.229788,0.241352,0.213024,0.253833,0.217648,0.166012,0.0965916,0.130573,0.150934,0.128021,0.0972423,0.166065,1,0.20569,0.153813,0.151746,0.218668,1,0.135234,0.183593,0.136158,0.13954,0.220894,0.202875,0.193494,0.151357,0.157699,0.229788,0.20808,0.229788,0.221689,0.197375,0.130326,0.212461,0.114632,0.158334,0.11446,0.269068,1,0.163742,0.169332,0.176519,0.141773,0.150281,0.172587,0.157182,0.166012,0.132809,1,0.187889,0.0847755,0.211902,0.198212,0.152959,1,0.115999,0.196861,0.151034,0.16016,0.0605415,0.165288,0.196717,0.0952737,0.211646,0.170922,0.194454,0.222258,0.08056,0.167365,0.138887,0.218986,0.108113,1,0.187834,1,0.192294,0.147146,0.18035,0.174336,0.135259,1,0.206985,0.12389,0.194383,0.0747894,0.242149,0.110088,0.179886,0.131294,0.213833,0.163344,0.168319,1,0.191104,0.21348,0.130167,0.130414,0.192946,0.139804,0.198946,0.204435,0.225895,0.177299,0.202875,0.13896,1,0.229788,0.128813,0.18257,0.159496,0.164836,0.173056,0.152891,0.153094,0.123698,0.162838,0.229788,0.191974,0.134724,0.124558,0.20808,0.167801,1,0.126678,0.136847,0.199526,0.193206,0.153564,0.229788,0.116313,0.128238,0.196641,0.186033,0.125221,1,0.15077,0.130475,0.263481,0.20569,0.193206,0.171487,0.100391,1,0.195472,0.26993,0.286629,0.189456,0.281553,0.105662,0.197005,0.12455,0.0990283,0.234977,0.186033,0.19506,0.0861371,0.124503,0.238975,0.191104,0.211175,0.191659,0.0770469,0.169655,1,1,0.185732,0.213631,0.204011,0.148324,0.100834,0.299495,0.0875406,0.141708,0.180802,0.15659,0.0893727,0.0744991,0.142488,0.225895,0.113654,0.20808,0.154066,0.140584,0.191361,0.0975842,0.196861,0.193206,0.169156,0.191361,1,0.116009,0.229788,1,0.193596,1,0.200263,0.161827,0.134249,0.152425,0.0899112,0.153348,1,0.17509,0.164276,0.12623,0.20321,0.122491,0.231566,0.182602,0.105286,1,0.187834,0.199997,0.193206,0.226245,0.144866
